Transaction No,Customer ID,Date,Amount
1,natepuri@hotmail.com,25/07/17,282
2,natepuri@hotmail.com,23/09/17,282
3,cfhsoft@mac.com,11/05/18,219
4,cfhsoft@mac.com,10/07/18,219
5,payned@hotmail.com,24/07/18,264
6,payned@hotmail.com,01/10/18,264
7,vertigo@verizon.net,17/12/17,252
8,vertigo@verizon.net,24/02/18,252
9,lstaf@yahoo.ca,05/06/18,210
10,lstaf@yahoo.ca,04/08/18,210
11,tkrotchko@aol.com,02/09/17,114
12,leslie@yahoo.com,10/01/17,252
13,leslie@yahoo.com,20/03/17,252
14,mirod@comcast.net,18/08/17,123
15,mirod@comcast.net,26/10/17,123
16,heidrich@optonline.net,22/02/17,246
17,heidrich@optonline.net,02/05/17,246
18,bester@outlook.com,07/07/17,204
19,smcnabb@att.net,19/04/18,123
20,smcnabb@att.net,27/06/18,123
21,benits@verizon.net,23/12/17,180
22,benits@verizon.net,02/03/18,180
23,ilial@hotmail.com,05/11/17,192
24,ilial@hotmail.com,04/01/18,192
25,henkp@verizon.net,24/12/17,201
26,odlyzko@hotmail.com,30/12/16,171
27,odlyzko@hotmail.com,09/03/17,171
28,donev@verizon.net,11/04/18,258
29,donev@verizon.net,19/06/18,258
30,mobileip@live.com,10/09/17,129
31,mobileip@live.com,18/11/17,129
32,kidehen@sbcglobal.net,09/09/17,222
33,hakim@msn.com,28/09/17,231
34,hakim@msn.com,27/11/17,231
35,luvirini@outlook.com,16/09/16,108
36,terjesa@yahoo.ca,21/10/16,234
37,terjesa@yahoo.ca,29/12/16,234
38,monopole@aol.com,13/11/17,147
39,monopole@aol.com,12/01/18,147
40,tarreau@optonline.net,21/05/17,147
41,tarreau@optonline.net,20/07/17,147
42,delpino@sbcglobal.net,07/11/16,270
43,delpino@sbcglobal.net,06/01/17,270
44,grossman@live.com,05/03/17,90
45,grossman@live.com,04/05/17,90
46,mcnihil@yahoo.com,25/09/16,117
47,singer@hotmail.com,18/01/18,153
48,singer@hotmail.com,19/03/18,153
49,chrisj@live.com,09/04/17,111
50,bonmots@yahoo.com,16/01/18,117
51,reziac@gmail.com,22/07/17,195
52,jsnover@hotmail.com,07/04/17,198
53,ajlitt@gmail.com,29/06/17,297
54,ajlitt@gmail.com,28/08/17,297
55,slanglois@yahoo.ca,23/08/18,258
56,slanglois@yahoo.ca,31/10/18,258
57,kenja@comcast.net,29/03/17,273
58,kenja@comcast.net,28/05/17,273
59,magusnet@icloud.com,01/07/17,192
60,magusnet@icloud.com,30/08/17,192
